Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,IRCTC RBL Bank Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,IndianOil RBL Bank Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,IndianOil RBL Bank RuPay Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,IndianOil RBL Bank XTRA RuPay Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,Indianoil RBL Bank Xtra Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Bankbazaar Savemax Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Bankbazaar Savemax Pro Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Binge Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Binge MasterCard Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank Cookie Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank DMI Finance Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank EasySaver Credit Card,,,,
"Up to Rs. 2,400 OFF*",, YATRARBL,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,https://www.yatra.com/offer/details/rbl-credit-card-offers,RBL Bank EasySaver Visa Credit Card,,,,
